Term,Definition
starý,old
dům,house
stůl,table
kniha,book
pes,dog
kočka,cat
auto,car
jablko,apple
město,city
hory,mountains
řeka,river
slunce,sun
měsíc,moon
den,day
noc,night
teplý,warm
studený,cold
dobrý,good
špatný,bad
nový,new
starý,old
velký,big
malý,small
dlouhý,long
krátký,short
hezký,pretty
ošklivý,ugly
silný,strong
slabý,weak
rychlý,fast
pomalý,slow
jít,to go
mít,to have
jíst,to eat
pít,to drink
spát,to sleep
pracovat,to work
učit se,to learn
mluvit,to speak
číst,to read
psát,to write
poslouchat,to listen
vidět,to see
slyšet,to hear
cítit,to feel
milovat,to love
nenávidět,to hate
smát se,to laugh
plakat,to cry
těšit se,to look forward to
černá,black
bílá,white
nůž,knife
roh,horn
hudba,music
zelená,green
žlutá,yellow
modrá,blue
šedá,grey
myš,mouse
tráva,grass
hvězda,star
